timestamp,state_of_charge_kWh,charge_kWh,discharge_kWh
2024-08-18 21:30:00,49.88289762566093,57.14818327622048,1.3500311979408152e-14
2024-08-18 22:00:00,104.17367173807037,58.85799027622048,26.52245937545232
2024-08-18 22:30:00,132.1703842104602,58.837390276220475,59.912609723779525
2024-08-18 23:00:00,125.0000000003125,0.0,118.75
2024-08-18 23:30:00,0.0,-0.0,0.0
2024-08-19 00:00:00,0.0,0.0,0.0
2024-08-19 00:30:00,0.0,0.0,0.0
2024-08-19 01:00:00,0.0,45.485935819052614,3.552713678800501e-15
2024-08-19 01:30:00,43.21163902809999,46.03183781905261,0.0
2024-08-19 02:00:00,86.94188495619997,46.35113881905261,-2.0250467969112227e-14
2024-08-19 02:30:00,130.97546683429997,47.20604281905261,-6.750155989704076e-15
2024-08-19 03:00:00,175.82120751239995,46.27903881905261,0.0
2024-08-19 03:30:00,219.78629439049993,45.671335819052615,3.552713678800501e-15
2024-08-19 04:00:00,263.17406341859987,46.40263881905261,4.0500935938224454e-14
2024-08-19 04:30:00,307.2565702966998,45.81553681905261,-2.7000623958816305e-14
2024-08-19 05:00:00,350.7813302747998,45.496235819052615,-6.750155989704076e-15
2024-08-19 05:30:00,394.0027543028998,43.940928819052615,3.552713678800501e-15
2024-08-19 06:00:00,435.7466366809998,0.0,0.0
2024-08-19 06:30:00,435.7466366809998,0.0,118.75000000000001
2024-08-19 07:00:00,310.7466366806873,0.0,118.75
2024-08-19 07:30:00,185.74663668037476,0.0,118.75
2024-08-19 08:00:00,60.74663668006225,0.0,57.709304845914865
2024-08-19 08:30:00,0.0,29.493527117452608,0.0
2024-08-19 09:00:00,28.018850761579976,17.36935709420808,0.0
2024-08-19 09:30:00,44.51974000107765,43.51605012305261,0.0
2024-08-19 10:00:00,85.85998761797762,48.626530757552615,0.0
2024-08-19 10:30:00,132.05519183765261,52.910999760952606,0.0
2024-08-19 11:00:00,182.32064161055757,54.79674495065261,0.0
2024-08-19 11:30:00,234.37754931367755,55.97314680275261,0.0
2024-08-19 12:00:00,287.55203877629253,57.03832892899261,0.0
2024-08-19 12:30:00,341.73845125883554,56.89684046816261,0.0
2024-08-19 13:00:00,395.79044970359,55.88907053105261,0.0
2024-08-19 13:30:00,448.88506670809,53.80519293885261,0.0
2024-08-19 14:00:00,500.0,17.840621819052608,32.30457563330919
2024-08-19 14:30:00,482.9437742719,17.95392181905261,0.0
2024-08-19 15:00:00,500.0,19.11782681905261,17.253838704151843
2024-08-19 15:30:00,500.0,19.457727819052607,17.560599356651075
2024-08-19 16:00:00,500.0,20.395031819052612,37.31500564076057
2024-08-19 16:30:00,480.09632692193804,20.951234819012605,0.0
2024-08-19 17:00:00,500.0,6.241870504192109e-10,118.7499999993758
2024-08-19 17:30:00,375.0000000009375,0.0,118.75
2024-08-19 18:00:00,250.00000000062502,0.0,118.75
2024-08-19 18:30:00,125.00000000031251,0.0,118.75
2024-08-19 19:00:00,0.0,36.92659981905261,0.0
2024-08-19 19:30:00,35.08026982809998,38.54370681905261,0.0
2024-08-19 20:00:00,71.69679130619996,41.015716819052614,3.552713678800501e-15
2024-08-19 20:30:00,110.66172228429994,6.130843340156959,110.66172228429994
2024-08-19 21:00:00,0.0,-0.0,0.0
2024-08-19 21:30:00,0.0,39.759111819052606,0.0
